Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
644.,1580,ARTOIS Elodie,177,25:17,4:08,834,1:59:23,1:48,639,37:30,Finish,3:08:09,26/93,F25-29
653.,366,GATIGNOL Barbara,594,29:59,2:59,743,1:55:52,1:46,670,37:52,Finish,3:08:31,12/26,F20-24
658.,131,LAMY Cassandra,203,25:40,2:28,946,2:03:37,1:22,484,35:30,Finish,3:08:39,19/81,F30-34
659.,440,VEROLLET Sophie,528,29:23,3:21,787,1:57:49,1:33,563,36:35,Finish,3:08:43,20/81,F30-34
660.,861,SCHMIDT Frauke,1226,37:29,3:42,491,1:47:35,2:15,647,37:40,Finish,3:08:43,21/81,F30-34
660.,1412,DEVAUX Elise,466,28:52,3:28,840,1:59:44,1:51,434,34:47,Finish,3:08:43,21/81,F30-34
662.,1391,GUILLOU Coline,309,27:12,3:30,782,1:57:41,1:38,728,38:42,Finish,3:08:45,27/93,F25-29
663.,1630,CHARPENTIER Barbara,434,28:38,3:07,704,1:54:24,1:43,886,40:56,Finish,3:08:50,6/43,F50-54
665.,911,BRIOT Pauline,103,23:53,3:09,693,1:54:03,2:18,1149,45:28,Finish,3:08:54,28/93,F25-29
666.,330,LEVY Juliette,875,32:45,3:27,647,1:52:42,1:55,686,38:04,Finish,3:08:55,29/93,F25-29
668.,402,AKKAD Milène,181,25:22,3:08,847,2:00:07,1:55,712,38:26,Finish,3:09:00,23/81,F30-34
673.,237,MOLINGHEN Laurie,932,33:23,3:44,466,1:46:42,1:49,1056,43:34,Finish,3:09:14,24/81,F30-34
674.,1072,RONGER Marjorie,1082,35:04,3:22,611,1:51:17,1:52,660,37:47,Finish,3:09:25,12/40,F40-44
678.,296,VERSCHRAEGEN Katrien,689,30:48,3:28,714,1:54:52,1:41,741,38:53,Finish,3:09:43,13/40,F40-44
681.,370,DUGELAY Christine,841,32:20,4:27,625,1:51:41,1:49,803,39:36,Finish,3:09:56,7/43,F50-54
684.,454,BRUCKERT Carolanne,265,26:31,3:23,784,1:57:46,1:22,891,41:01,Finish,3:10:04,25/81,F30-34
686.,903,ROUE Amélie,828,32:07,4:28,710,1:54:45,2:17,558,36:30,Finish,3:10:09,26/81,F30-34
689.,1433,LEPERCQ Edith,1196,36:41,5:18,641,1:52:22,2:25,339,33:35,Finish,3:10:23,16/51,F35-39
690.,387,GABRIEL Manon,632,30:21,2:56,792,1:58:02,1:16,676,37:56,Finish,3:10:34,17/51,F35-39
